Age,Difference,Model
19,-3.7626,US
11,-2.5321,US
20,127.9908,UT
18,-20.7188,UT
18,-2.1188,UT
23,-63.6416,UT
21,7.3524,UT
20,-14.7916,UT
22,1.2698,UT
18,-13.6258,UT
23,-34.4761,UT
20,-0.2346,UT
23,-8.4864,UT
20,-5.1022,UT
19,1.146,UT
20,-59.7359,UT
21,-17.5438,UT
19,77.3974,UT
22,-2.036,UT
18,43.509,UT
20,24.7337,UT
21,-28.7396,UT
19,-57.8874,UT
19,-6.92,UT
22,6.9055,UT
21,-27.7624,UT
21,-4.1309,UT
22,5.4339,UT
20,7.3524,UT
21,-12.557,UT
23,-20.8163,UT
24,-7.5686,UT
23,-9.5598,UT
20,-46.1862,UT
23,-15.3795,UT
21,-20.3273,UT
21,-4.443,UT
19,-52.2106,UT
18,-42.2048,UT
21,-31.6957,UT
23,-10.9792,UT
21,4.0884,UT
18,-10.886,UT
24,-19.4805,UT
22,-10.9821,UT
23,-27.3394,UT
20,-28.1343,UT
20,-367.9855,UT
22,3.0444,UT
22,-17.8386,UT
22,-16.1852,UT
23,-0.1499,UT
22,1.1425,UT
18,14.1724,UT
17,-5.7209,UT
23,-247.1683,UT
17,-38.1451,UT
17,-6.2979,UT
14,-3.146,UT
17,6.4488,UT
19,8.4916,UT
18,-360.6743,UT
21,0.3568,UT
23,-29.1272,UT
24,-24.9287,UT
17,-13.2911,UT
14,9.9282,UT
17,4.2893,UT
24,23.5553,UT
24,-29.826,UT
17,16.8761,UT
20,2.1566,UT
19,-16.6285,UT
17,-11.2597,UT
21,-8.7386,UT
17,-17.6399,UT
17,-4.5319,UT
16,-0.2316,UT
16,6.4063,UT
16,-3.8901,UT
22,-40.4063,UT
24,87.4653,UT
17,-6.5435,UT
17,-9.8359,UT
16,-26.0892,UT
13,11.7543,UT
13,-1.3576,UT
16,-3.8147,UT
12,-11.8635,UT
13,2.7054,UT
15,-12.1315,UT
17,6.2995,UT
13,12.0135,UT
15,44.8336,UT
12,-1.8801,UT
15,-26.236,UT
12,-7.6857,UT
12,-5.571,UT
13,-27.6073,UT
11,-32.0747,UT
14,4.5799,UT
12,2.9229,UT
15,-0.4766,UT
15,16.6505,UT
14,-19.4079,UT
14,3.1855,UT
14,-15.8382,UT
15,-41.6036,UT
14,6.7251,UT
16,-8.2514,UT
10,6.4,UT
13,-36.5917,UT
11,-14.5715,UT
11,-12.2986,UT
10,4.3015,UT
10,-19.9466,UT
12,-34.4655,UT
11,3.2691,UT
12,3.6024,UT
12,6.952,UT
15,-0.7429,UT
10,-24.3302,UT
10,-9.8719,UT
13,-27.8976,UT
13,7.1012,UT
10,7.1231,UT
14,-3.8007,UT
13,7.124,UT
11,2.7065,UT
11,0.315,UT
10,-3.8041,UT
14,3.6835,UT
15,-0.2952,UT
16,12.0954,UT
14,5.1218,UT
16,-7.6759,UT
11,6.6741,UT
12,5.8383,UT
24,5.3209,UT
24,58.4209,UT
11,-39.2569,UT
15,2.9368,UT
24,-4.7464,UT
18,-18.9599,UT
15,-8.7145,UT
18,7.099,UT
10,10.3868,UT
13,4.1781,UT
11,-3.22,UT
12,10.2923,UT
11,-8.8153,UT
13,-3.3719,UT
10,1.5288,UT
24,-1.7971,UT
13,-5.6362,UT
19,-3.652,UT
12,-25.5396,UT
19,5.2863,UT
11,1.2362,UT
