subject,s_age,softmax,criterion,alpha,beta,gender,age,ageExact,SES,SES_coded,meanprior,priorSD,s_ageExact,logmeanprior,logcriterion,logpriorSD,f_age,ageGroup,f_ageGroup,ageGroupsmall,IQ
151,15,38.218,0.055356,1,1,0,15,15.79,high SES,2,0.5,0.288675135,-0.393384274,-0.693147181,-2.893970225,-1.242453325,15,2,2,3,92.5
152,18,37.365,0.10173,1,1,0,18,18.61,middle SES,1,0.5,0.288675135,0.256371195,-0.693147181,-2.285433034,-1.242453325,18,3,3,5,120
153,10,49.955,3.41E-07,38.147,25.302,1,10,10.91,middle SES,1,0.60122303,0.060992263,-1.517783809,-0.508789316,-14.89138336,-2.797008259,10,1,1,1,87.5
154,13,72606,4.37E-05,71058,41.454,1,13,13.33,high SES,2,0.999416958,9.05E-05,-0.960192236,-0.000583212,-10.03816246,-9.309841386,13,2,2,2,102.5
155,11,39.598,3.37E-09,3.2737,1.7405,1,11,11.56,high SES,2,0.652885804,0.194118026,-1.368017477,-0.426353044,-19.50835309,-1.639288921,11,1,1,1,110
156,12,71.048,0.039814,2.707,4.1056,1,12,12.14,high SES,2,0.397351965,0.175074043,-1.234379828,-0.922932828,-3.22353667,-1.742546293,12,1,1,2,122.5
157,11,111.81,0.052883,7.365,9.9987,0,11,11.22,middle SES,1,0.424160749,0.11532827,-1.446356789,-0.85764277,-2.939673353,-2.159972698,11,1,1,1,105
158,13,45.127,0.029535,1,2.0054,0,13,13.19,middle SES,1,0.332734411,0.235437304,-0.9924496,-1.100410671,-3.522179278,-1.446310625,13,2,2,2,107.5
159,10,42.573,1.20E-10,1,13.737,0,10,10.29,middle SES,1,0.067856416,0.063398049,-1.660637848,-2.690361338,-22.84352937,-2.758322191,10,1,1,1,92.5
16,20,588.87,0.065981,12.651,14.488,1,20,20.07,middle SES,1,0.466155717,0.094041268,0.592769416,-0.763235544,-2.718388457,-2.364021573,20,4,4,6,107.5
160,24,69.035,0.056941,1.0273,2.4416,0,24,24.87,high SES,2,0.296145752,0.215970187,1.698736172,-1.21690354,-2.865739635,-1.532614906,24,5,5,7,112.5
161,13,105.16,0.07283,3.6272,2.2965,1,13,13.62,high SES,2,0.612320003,0.185164105,-0.893373411,-0.490500253,-2.619627321,-1.686512795,13,2,2,2,117.5
162,19,186.07,0.060406,7.8041,11.872,0,19,19.91,high SES,2,0.396628397,0.107584579,0.555903858,-0.924755465,-2.806666841,-2.229477962,19,4,4,5,117.5
163,12,74.181,0.15079,1.9366,1.6621,0,12,12.44,middle SES,1,0.538138772,0.232479871,-1.165256905,-0.619638811,-1.891867139,-1.458951636,12,1,1,2,100
164,19,13836,0.00081874,14155,183.75,0,19,19.1,middle SES,1,0.987185075,0.000939262,0.369271968,-0.012897744,-7.107743985,-6.970416614,19,4,4,5,115
165,11,91.853,0.044322,3.398,6.1852,0,11,11.81,high SES,2,0.354578846,0.147051516,-1.310415042,-1.036824542,-3.116274111,-1.916972302,11,1,1,1,117.5
17,21,60.058,0.094717,1,1.5337,0,21,21.39,high SES,2,0.394679717,0.260016064,0.896910274,-0.929680685,-2.356861781,-1.347011867,21,4,4,6,117.5
19,19,32.205,0.12662,1,1,1,19,19.96,middle SES,1,0.5,0.288675135,0.567424345,-0.693147181,-2.066564804,-1.242453325,19,4,4,5,120
2,18,83.628,0.090115,1.8797,3.1242,1,18,18.81,middle SES,1,0.375646995,0.19764614,0.302453143,-0.979105419,-2.406668647,-1.621277017,18,3,3,5,95
20,22,50.797,0.0031635,1.0173,1.0804,1,22,22.04,middle SES,1,0.484959718,0.283957768,1.046676606,-0.723689448,-5.756076269,-1.258929756,22,5,5,7,100
21,18,25.583,0.06637,1,1,1,18,18.19,middle SES,1,0.5,0.288675135,0.159599104,-0.693147181,-2.712510132,-1.242453325,18,3,3,5,107.5
22,19,73.466,0.053507,1.9551,3.9673,1,20,20.32,middle SES,1,0.330119546,0.178733487,0.650371852,-1.108300429,-2.927942793,-1.721859485,20,4,4,6,110
23,20,194.69,0.075311,9.5439,4.5383,1,21,21.01,middle SES,1,0.677727912,0.120339079,0.809354573,-0.389009382,-2.586129073,-2.117441859,21,4,4,6,102.5
24,18,136.8,0.11356,1.8315,3.7412,1,19,19.01,middle SES,1,0.328655768,0.183219357,0.348535091,-1.112744373,-2.175423947,-1.69707117,19,4,4,5,110
25,19,30.123,0.0071841,1.6577,1,0,19,19.04,high SES,2,0.623734808,0.253304538,0.355447384,-0.472029988,-4.935885028,-1.373162805,19,4,4,5,100
26,22,64.766,0.079798,1.4083,1.3641,0,22,22.97,high SES,2,0.507971433,0.257398455,1.260957665,-0.677330068,-2.528256837,-1.357129986,22,5,5,7,105
27,21,244.16,0.07686,3.5731,4.4336,0,21,21.98,low SES,0,0.446263754,0.1656397,1.032852021,-0.806845125,-2.565769694,-1.797940333,21,4,4,6,120
28,21,46.01,0.054654,1.1037,1,1,21,21.96,middle SES,1,0.52464705,0.283466568,1.028243826,-0.645029527,-2.906732874,-1.260661087,21,4,4,6,92.5
29,22,144000,0.010032,1437.1,820.34,0,22,22.08,middle SES,1,0.636606067,0.010120919,1.055892995,-0.451604234,-4.601975295,-4.59315082,22,5,5,7,102.5
3,18,40.857,0.10368,1.1825,1.1449,0,18,18.52,middle SES,1,0.508077683,0.274069569,0.235634318,-0.677120923,-2.266446046,-1.294373305,18,3,3,5,92.5
30,20,1260000,0.00094801,137000,123000,0,20,20.88,middle SES,1,0.526923077,0.000979156,0.779401306,-0.640700705,-6.961145507,-6.928819368,20,4,4,6,107.5
31,21,16.985,0.019444,1,1,1,21,21.61,middle SES,1,0.5,0.288675135,0.947600417,-0.693147181,-3.94021674,-1.242453325,21,4,4,6,102.5
32,23,123.58,0.073321,3.3619,4.1115,0,23,23.19,middle SES,1,0.449848797,0.170901337,1.311647808,-0.798843759,-2.612908217,-1.766668864,23,5,5,7,112.5
33,24,71.993,0.055707,4.0665,4.699,1,24,24.1,high SES,2,0.463921054,0.159583937,1.521320672,-0.768040883,-2.887649467,-1.835185246,24,5,5,7,95
34,23,106.92,0.05588,5.8628,10.684,1,23,23.66,high SES,2,0.354316242,0.114184328,1.419940386,-1.037565424,-2.884548745,-2.169941228,23,5,5,7,107.5
35,20,131.41,0.092629,2.8754,3.2546,1,20,20.18,high SES,2,0.469070147,0.186892858,0.618114488,-0.757002955,-2.379153011,-1.67721978,20,4,4,6,105
36,23,71.533,0.053775,2.158,2.5262,1,23,23.53,high SES,2,0.460697664,0.209068922,1.389987119,-0.775013277,-2.922946604,-1.565091309,23,5,5,7,105
37,21,78.108,0.083327,1,1.3418,1,21,21.92,high SES,2,0.427021949,0.270585092,1.019027437,-0.850919864,-2.484982653,-1.307168658,21,4,4,6,95
38,21,27.274,4.58E-10,1.2769,1.1364,0,21,21.37,middle SES,1,0.529109518,0.270175219,0.892302079,-0.63655984,-21.50415193,-1.30868457,21,4,4,6,120
39,19,111.07,0.096808,2.7981,2.9468,1,19,19.88,high SES,2,0.487058086,0.192458331,0.548991566,-0.719371889,-2.335025643,-1.647875611,19,4,4,5,95
4,23,290.52,0.080177,6.8825,5.5905,0,23,23.06,middle SES,1,0.55179187,0.135486292,1.281694541,-0.59458435,-2.523518588,-1.998884806,23,5,5,7,102.5
40,18,170.08,0.08211,5.1014,6.1826,1,18,18.19,high SES,2,0.452091457,0.142002922,0.159599104,-0.793870781,-2.499695467,-1.951907641,18,3,3,5,102.5
41,21,80.984,0.083431,3.0636,2.879,0,21,21.04,high SES,2,0.515531922,0.189670283,0.816266865,-0.662556053,-2.483735336,-1.662468067,21,4,4,6,82.5
42,23,113.49,0.11257,1.5973,1.4894,1,23,23.13,low SES,0,0.517478213,0.247182727,1.297823223,-0.658787855,-2.184180029,-1.397627429,23,5,5,7,87.5
43,21,101.4,0.078156,1.2957,2.0099,1,21,21.68,high SES,2,0.3919712,0.235273121,0.963729099,-0.93656691,-2.54904845,-1.447008221,21,4,4,6,120
44,18,168.04,0.072286,3.5305,3.9984,1,18,18.02,middle SES,1,0.468926404,0.170876833,0.120429448,-0.757309445,-2.627124806,-1.766812255,18,3,3,5,102.5
45,24,124.62,0.073491,4.2853,3.7575,1,24,24.4,middle SES,1,0.532811956,0.165913367,1.590443594,-0.62958672,-2.610592329,-1.79628951,24,5,5,7,105
46,22,70.555,0.079155,1.4368,1.4335,1,22,22.53,middle SES,1,0.500574853,0.254154265,1.159577379,-0.691998135,-2.536347323,-1.369813853,22,5,5,7,122.5
47,23,623.26,0.052031,21.246,34.786,1,23,23.93,high SES,2,0.379176185,0.064245899,1.482151016,-0.969754314,-2.955915584,-2.745037388,23,5,5,7,112.5
48,20,425.91,0.066735,6.956,17.96,1,20,20.1,middle SES,1,0.279178038,0.08811922,0.599681709,-1.275905571,-2.707025726,-2.429064607,20,4,4,6,110
49,20,3910000,0.027911,153.69,151.29,0,20,20.08,high SES,2,0.503934684,0.028583147,0.595073514,-0.685308614,-3.578734403,-3.554938015,20,4,4,6,112.5
5,21,147000,0.0046124,4849.9,5061.5,1,21,21.69,low SES,0,0.489325423,0.0050209,0.966033196,-0.714727524,-5.37900695,-5.294146014,21,4,4,6,87.5
50,22,70.851,0.03604,1,1.6306,1,22,22.59,middle SES,1,0.380141413,0.254759097,1.173401963,-0.967211957,-3.323125846,-1.367436896,22,5,5,7,92.5
51,22,186.43,0.07566,4.2164,5.3278,0,22,22.51,high SES,2,0.441776157,0.15293205,1.154969184,-0.816951957,-2.58150566,-1.877761574,22,5,5,7,112.5
52,22,548.65,0.054053,17.26,31.439,0,22,22.81,high SES,2,0.354422062,0.067851724,1.224092106,-1.03726681,-2.917790232,-2.690430479,22,5,5,7,107.5
53,23,69.836,0.028557,1.1821,1.6483,1,23,23.23,middle SES,1,0.417644149,0.251985388,1.320864197,-0.873125527,-3.555853189,-1.378384177,23,5,5,7,95
54,22,89.193,0.071176,1.731,2.5962,0,22,22.08,high SES,2,0.400027732,0.212256568,1.055892995,-0.916221405,-2.642599596,-1.549959511,22,5,5,7,112.5
55,18,15.708,0.011198,1,1,0,18,18.4,high SES,2,0.5,0.288675135,0.207985149,-0.693147181,-4.492020088,-1.242453325,18,3,3,5,112.5
56,17,201.69,0.074747,3.5584,8.5125,0,17,17.43,high SES,2,0.294791606,0.126114072,-0.015512299,-1.221486592,-2.593646201,-2.070568451,17,3,3,4,117.5
57,23,11100000,0.033722,112.43,101.29,0,23,23.98,middle SES,1,0.526062137,0.034075558,1.493671503,-0.642335941,-3.389604836,-3.379174926,23,5,5,7,107.5
58,17,86.211,0.084007,2.4877,3.6568,1,17,17.54,middle SES,1,0.40486614,0.183644167,0.009832772,-0.904198784,-2.47685515,-1.694755269,17,3,3,4,105
59,17,150.42,0.068938,3.2782,3.3705,0,17,17.33,high SES,2,0.493058793,0.180773322,-0.038553273,-0.707126856,-2.674547729,-1.7105114,17,3,3,4,102.5
6,21,71.957,0.096173,1.0318,1.2282,1,20,20.26,high SES,2,0.456548673,0.27587673,0.636547267,-0.784059963,-2.341606626,-1.287801145,20,4,4,6,97.5
60,14,86.109,0.042486,6.1534,4.3742,0,14,14.58,high SES,2,0.584501691,0.145147001,-0.67218006,-0.536995605,-3.158580669,-1.93000825,14,2,2,3,112.5
61,17,101.4,0.06273,4.0759,3.0055,1,17,17.13,middle SES,1,0.575578275,0.173863212,-0.084635221,-0.552380047,-2.768915477,-1.749486428,17,3,3,4,117.5
62,19,67.945,8.47E-10,4.6243,17.763,1,19,19.42,high SES,2,0.206559076,0.083712323,0.443003085,-1.577168826,-20.88932042,-2.480369079,19,4,4,5,92.5
63,18,1790000,0.028043,151.21,150.87,0,18,18.49,high SES,2,0.500562765,0.02872044,0.228722026,-0.692022284,-3.574016233,-3.550146213,18,3,3,5,80
64,21,62.565,0.088981,1.0504,1.1445,0,21,21.16,high SES,2,0.478563944,0.279474303,0.843916034,-0.736965443,-2.419332415,-1.274844929,21,4,4,6,112.5
65,23,87.515,0.077289,1.6421,4.7535,0,23,23.62,high SES,2,0.256754644,0.160634398,1.410723996,-1.359634343,-2.560203636,-1.828624319,23,5,5,7,107.5
66,24,141.11,0.07329,4.3005,6.3607,1,24,24.13,middle SES,1,0.403378607,0.143659457,1.528232964,-0.907879688,-2.613331105,-1.940309664,24,5,5,7,117.5
67,17,92.637,0.083907,1.7895,1,0,17,17.35,high SES,2,0.641512816,0.24634771,-0.033945078,-0.443926117,-2.478046236,-1.401011285,17,3,3,4,117.5
68,14,51.923,0.017637,1.7989,1.6444,1,14,14.27,high SES,2,0.522434874,0.236962468,-0.74360708,-0.649254947,-4.037756311,-1.439853514,14,2,2,3,107.5
69,17,135.4,0.04322,2.5823,2.2935,1,17,17.64,low SES,0,0.529615653,0.205908054,0.032873746,-0.635603719,-3.141451928,-1.580325549,17,3,3,4,102.5
7,22,47.305,0.080369,1,1,1,22,22.96,high SES,2,0.5,0.288675135,1.258653567,-0.693147181,-2.521126749,-1.242453325,22,5,5,7,82.5
70,24,41.554,0.048418,1.8809,1,0,24,24.31,low SES,0,0.652886251,0.241650915,1.569706717,-0.42635236,-3.027883634,-1.420261095,24,5,5,7,90
71,24,89.472,0.10356,1.643,1.6722,0,24,24.87,high SES,2,0.495596042,0.240687033,1.698736172,-0.701994115,-2.267604124,-1.424257808,24,5,5,7,102.5
72,17,33.478,0.065752,1,1.0088,0,17,17.88,high SES,2,0.497809638,0.288249908,0.088172084,-0.697537529,-2.72186519,-1.24392744,17,3,3,4,122.5
73,20,137.89,0.053964,4.9636,6.663,0,20,20.74,high SES,2,0.426917586,0.139199396,0.747143943,-0.851164292,-2.919438121,-1.971847868,20,4,4,6,92.5
74,19,92.179,0.060603,4.937,4.8936,0,19,19.72,high SES,2,0.502207393,0.151928592,0.512126007,-0.688742111,-2.803410882,-1.884344656,19,4,4,5,120
75,17,70.964,0.043641,4.4768,5.5945,0,17,17.94,middle SES,1,0.444510639,0.149341202,0.101996669,-0.810781289,-3.131758204,-1.901521643,17,3,3,4,125
76,21,50.292,0.029443,1.5006,2.1772,0,21,21.16,middle SES,1,0.408015662,0.227233679,0.843916034,-0.896449719,-3.525299088,-1.481776366,21,4,4,6,122.5
77,17,40.83,0.032025,1,2.1505,0,17,17.04,high SES,2,0.317409935,0.228475707,-0.105372098,-1.14756117,-3.441238431,-1.476325388,17,3,3,4,122.5
78,17,32.889,0.016987,1,1.3181,1,17,17.06,high SES,2,0.431387774,0.271892531,-0.100763903,-0.840747885,-4.075306933,-1.302348397,17,3,3,4,117.5
79,16,76.657,0.033569,2.2435,2.2941,0,16,16.61,high SES,2,0.494424365,0.212462462,-0.204448287,-0.704361091,-3.394152257,-1.548989957,16,3,3,4,110
8,18,22.93,0.00026278,1.6429,1.1894,1,18,18.21,high SES,2,0.58005861,0.252116071,0.164207299,-0.544626129,-8.244193378,-1.377865699,18,3,3,5,85
80,16,88.219,0.047106,2.3485,3.7958,0,16,16.49,high SES,2,0.382224175,0.181800339,-0.232097455,-0.961747996,-3.055354898,-1.704846231,16,3,3,4,112.5
81,16,55.92,0.037332,2.8365,5.9165,1,16,16.67,middle SES,1,0.324060322,0.149864161,-0.190623702,-1.126825601,-3.287904411,-1.898025986,16,3,3,4,90
82,22,75.781,0.13431,1.1922,1.7861,1,22,22.96,high SES,2,0.400295471,0.245646306,1.258653567,-0.915552328,-2.007604718,-1.403862558,22,5,5,7,110
83,24,38.279,0.08462,1,1,1,24,24.97,low SES,0,0.5,0.288675135,1.721777146,-0.693147181,-2.469584634,-1.242453325,24,5,5,7,107.5
84,17,40693,0.011943,499.61,1017.1,0,17,17.37,middle SES,1,0.329403775,0.012064253,-0.029336884,-1.110471,-4.427609946,-4.417508487,17,3,3,4,125
85,17,45.849,0.022915,1.9937,1.7001,1,17,17.1,high SES,2,0.539742271,0.230054891,-0.091547514,-0.61666353,-3.775963561,-1.469437342,17,3,3,4,120
86,16,432.57,0.066448,12.411,10.858,1,16,16.24,middle SES,1,0.533370579,0.101268563,-0.289699891,-0.628538826,-2.711335592,-2.289979255,16,3,3,4,92.5
87,13,53.775,1.78E-09,18.541,15.255,1,13,13.04,high SES,2,0.548615221,0.084361194,-1.027011061,-0.600357956,-20.14665247,-2.472647764,13,2,2,2,110
88,13,136.1,0.061303,7.6402,8.8021,0,13,13.5,high SES,2,0.464667352,0.1194211,-0.92102258,-0.766433502,-2.791926498,-2.125099373,13,2,2,2,115
89,16,39.552,0.086738,1,1,1,16,16.26,high SES,2,0.5,0.288675135,-0.285091696,-0.693147181,-2.444863198,-1.242453325,16,3,3,4,110
9,23,386.67,0.081182,5.1015,5.2928,0,23,23.19,low SES,0,0.490797841,0.148099167,1.311647808,-0.711722965,-2.511061731,-1.909873184,23,5,5,7,105
90,12,50.969,0.050729,3.0102,2.9321,0,12,12.64,high SES,2,0.50657153,0.189749571,-1.119174957,-0.680089742,-2.98125754,-1.662050124,12,1,1,2,102.5
91,12,77.081,0.04656,1.8378,3.845,1,13,13.08,middle SES,1,0.323396917,0.180948794,-1.017794671,-1.128874865,-3.067013476,-1.709541196,13,2,2,2,117.5
92,15,67.274,0.048559,1.3785,2.7854,0,15,15.44,high SES,2,0.331059824,0.207089447,-0.474027683,-1.105456184,-3.024975726,-1.574604469,15,2,2,3,97.5
93,17,68.671,0.024698,2.3219,3.5145,0,17,17.37,high SES,2,0.397830855,0.187195217,-0.029336884,-0.921728352,-3.70103301,-1.675603265,17,3,3,4,107.5
94,13,31.894,0.010229,1,3.9595,0,13,13.05,middle SES,1,0.201633229,0.164352898,-1.024706964,-1.601304929,-4.582528456,-1.805739344,13,2,2,2,112.5
95,15,40.248,0.081412,1,1,1,15,15.31,high SES,2,0.5,0.288675135,-0.50398095,-0.693147181,-2.508232597,-1.242453325,15,2,2,3,110
96,12,53.116,0.013783,1,6.3949,0,12,12.61,high SES,2,0.135228333,0.118025761,-1.12608725,-2.000790573,-4.28431933,-2.136852364,12,1,1,2,117.5
97,15,93.091,0.065666,4.7871,4.985,1,15,15.32,high SES,2,0.489874234,0.152310814,-0.501676852,-0.713606587,-2.723173991,-1.881832014,15,2,2,3,102.5
98,12,102000,0.010941,1054.8,994.45,0,12,12.1,high SES,2,0.514724899,0.01103769,-1.243596217,-0.664122697,-4.515238078,-4.506439522,12,1,1,2,107.5
99,12,53.671,0.036147,2.9764,6.0245,0,12,12.18,high SES,2,0.330678043,0.148764968,-1.225163438,-1.106610056,-3.320161321,-1.905387614,12,1,1,2,110
