Age,Difference,Model
24,-334.257,SC
11,-17.2918,SC
15,-264.4869,SC
24,-355.1017,SC
18,-327.1586,SC
15,-267.9008,SC
18,-249.1282,SC
10,-169.0041,SC
13,-117.5683,SC
11,-303.8362,SC
12,-351.2889,SC
11,-380.9169,SC
13,-345.8728,SC
10,-195.551,SC
24,-387.4497,SC
13,-433.478,SC
19,-429.274,SC
12,-147.3175,SC
19,-41.1645,SC
11,-351.2266,SC
20,-279.843,TC
18,-360.3127,TC
18,-242.0033,TC
23,-490.0372,TC
21,7.3524,TC
20,-344.2791,TC
22,-326.7915,TC
18,-278.7966,TC
23,-518.735,TC
20,-451.7042,TC
23,-331.8009,TC
20,-345.7961,TC
19,-461.7213,TC
20,-522.6088,TC
21,-314.6035,TC
19,-237.4001,TC
22,-297.0829,TC
18,-219.1705,TC
20,-391.9081,TC
21,-398.5525,TC
19,-282.0001,TC
19,-327.8879,TC
22,-368.7922,TC
21,-495.0307,TC
21,-331.8914,TC
22,-212.1404,TC
20,7.3524,TC
21,-171.6665,TC
23,-459.5867,TC
24,-394.6787,TC
23,-387.0788,TC
20,-381.6291,TC
23,-419.8583,TC
21,-384.8989,TC
21,-286.4181,TC
19,-346.4174,TC
18,-427.8063,TC
21,-353.2468,TC
23,-354.1453,TC
21,-430.8047,TC
18,-443.3837,TC
24,-462.5891,TC
22,-375.1584,TC
23,-405.7422,TC
20,-424.6556,TC
20,-433.0793,TC
22,-354.472,TC
22,-486.4039,TC
22,-401.0926,TC
23,-350.0539,TC
22,-413.5482,TC
18,-179.7541,TC
17,-427.0577,TC
23,-184.3313,TC
17,-363.5056,TC
17,-459.1658,TC
14,-357.4391,TC
17,-439.8061,TC
19,-180.2094,TC
18,-440.3906,TC
21,-354.3343,TC
23,-361.4303,TC
24,-442.8278,TC
17,-410.104,TC
14,-364.9972,TC
17,-356.4994,TC
24,-341.4198,TC
24,-347.3285,TC
17,-243.0591,TC
20,-386.0444,TC
19,-417.0163,TC
17,-391.2673,TC
21,-348.8748,TC
17,-331.6608,TC
17,-263.8195,TC
16,-347.8407,TC
16,-391.6761,TC
16,-344.1011,TC
22,-214.426,TC
24,-309.9837,TC
17,-316.6993,TC
17,-361.8606,TC
16,-499.0798,TC
13,-210.482,TC
13,-404.0946,TC
16,-263.937,TC
12,-381.1925,TC
13,-389.4462,TC
15,-383.9152,TC
17,-317.1108,TC
13,-273.6914,TC
15,-310.0645,TC
12,-250.703,TC
15,-406.1038,TC
12,-241.192,TC
12,-333.2219,TC
13,-253.5127,TC
11,-291.6749,TC
14,-243.5065,TC
